;game_id_towers;game_id_monsters;team_monsters;time_monsters;team_towers;time_towers
0;5f86d932-465d-4278-8f2c-e837398c696e;;;;bTowers;6.378
1;4b4c0c9f-62e2-44ea-a2fe-aa4c59a182b6;4b4c0c9f-62e2-44ea-a2fe-aa4c59a182b6;rDragons;8.246;bTowers;8.946
2;3beaa8b3-6263-47c9-85fa-8dde611f0bb6;3beaa8b3-6263-47c9-85fa-8dde611f0bb6;rDragons;9.551;bTowers;8.96
3;9dcadc3c-7c30-4773-af55-a73edb4cf589;;;;bTowers;10.332
4;3ca49512-a10f-472a-8c15-3bb67d6dbed3;3ca49512-a10f-472a-8c15-3bb67d6dbed3;rDragons;10.63;bTowers;8.743
5;49e39636-5df8-4b54-96fb-133f3f336e55;49e39636-5df8-4b54-96fb-133f3f336e55;bDragons;10.998;bTowers;9.385
6;49e39636-5df8-4b54-96fb-133f3f336e55;49e39636-5df8-4b54-96fb-133f3f336e55;bDragons;10.998;bTowers;10.66
7;49e39636-5df8-4b54-96fb-133f3f336e55;49e39636-5df8-4b54-96fb-133f3f336e55;bDragons;10.998;bTowers;6.535
8;78d17963-aff2-49d0-bc5b-fab9abb0c120;78d17963-aff2-49d0-bc5b-fab9abb0c120;bDragons;9.869;bTowers;9.604
9;8c5de84b-e678-4625-9911-ff3d276c4a0c;;;;bTowers;9.908
10;86f8d2df-a005-4edc-845b-803520b55afb;86f8d2df-a005-4edc-845b-803520b55afb;rDragons;9.47;bTowers;10.543
11;945451f5-749c-4589-bc04-5608c765acd4;945451f5-749c-4589-bc04-5608c765acd4;bDragons;8.448;bTowers;8.386
12;a53496c3-b1e2-4bb9-975f-43789f609535;;;;bTowers;9.112
13;a53496c3-b1e2-4bb9-975f-43789f609535;;;;bTowers;7.489
14;a53496c3-b1e2-4bb9-975f-43789f609535;;;;bTowers;5.417
15;a53496c3-b1e2-4bb9-975f-43789f609535;;;;bTowers;10.353
16;42c5267a-03ed-44b7-932e-8db8b609faad;42c5267a-03ed-44b7-932e-8db8b609faad;bDragons;7.089;bTowers;10.283
17;0103699d-1068-4594-83ef-3631b94651dd;;;;bTowers;10.576
18;f26ed5c4-1223-4329-a78e-9faaca712fad;f26ed5c4-1223-4329-a78e-9faaca712fad;bDragons;10.572;bTowers;9.873
19;9a0fe477-3783-41c7-a9fe-7092da786f98;9a0fe477-3783-41c7-a9fe-7092da786f98;rDragons;3.903;bTowers;9.425
20;506f95a6-dc35-4257-a6d3-5f705b1bd840;;;;bTowers;8.891
21;506f95a6-dc35-4257-a6d3-5f705b1bd840;;;;bTowers;9.555
22;117ed826-9cff-42c1-9f94-25b83f924077;117ed826-9cff-42c1-9f94-25b83f924077;bDragons;4.685;bTowers;5.553
23;117ed826-9cff-42c1-9f94-25b83f924077;117ed826-9cff-42c1-9f94-25b83f924077;bDragons;4.685;bTowers;10.402
24;4c5e6b6d-0010-4b13-aaed-1a82ac1f7f98;4c5e6b6d-0010-4b13-aaed-1a82ac1f7f98;rDragons;3.29;bTowers;5.418
25;6b9daf94-311c-4d5e-8ff6-c6f3f31951a9;;;;bTowers;7.479
26;b5e37e33-e92a-40da-9d38-2a2ca4b7378a;b5e37e33-e92a-40da-9d38-2a2ca4b7378a;bDragons;9.174;bTowers;6.408
27;b286e575-4984-43f4-a5b1-df87d7c07245;b286e575-4984-43f4-a5b1-df87d7c07245;bDragons;6.844;bTowers;9.876
28;b221bf72-e4aa-41b2-9d48-faa608ca8a9f;b221bf72-e4aa-41b2-9d48-faa608ca8a9f;rDragons;4.199;bTowers;4.936
29;b29688dc-379e-4109-8faa-0b6f23346025;b29688dc-379e-4109-8faa-0b6f23346025;bDragons;8.573;bTowers;8.534
30;575415bb-c705-4864-82af-c2af337a7a2c;575415bb-c705-4864-82af-c2af337a7a2c;bDragons;9.884;bTowers;5.322
31;70345282-a1c4-4e63-a9e5-b07d179772ae;70345282-a1c4-4e63-a9e5-b07d179772ae;rDragons;6.489;bTowers;9.428
32;7f1c26a1-2d54-4cec-a40d-c5ad308cc8c6;7f1c26a1-2d54-4cec-a40d-c5ad308cc8c6;bDragons;8.918;bTowers;10.458
33;aae3d584-550c-4da8-ae57-e4166df61361;;;;bTowers;7.517
34;86e9a0a3-9501-46fc-8ced-23665ac8ab0f;86e9a0a3-9501-46fc-8ced-23665ac8ab0f;rDragons;10.73;bTowers;10.729
35;943c4dd3-6286-41ec-b735-57537a00f97c;943c4dd3-6286-41ec-b735-57537a00f97c;rDragons;7.701;bTowers;4.564
36;700303d3-2aff-4105-9175-648473ee675c;;;;bTowers;10.113
37;39724f26-4251-4a9b-b3a9-76c1710050af;39724f26-4251-4a9b-b3a9-76c1710050af;bDragons;8.287;bTowers;10.477
38;eb40069c-7687-45cf-9ff7-ed25c3230913;eb40069c-7687-45cf-9ff7-ed25c3230913;bDragons;10.068;bTowers;9.558
39;21d6e46a-6b6c-4466-8e07-ab887628f225;;;;bTowers;5.928
40;2ebe580f-d68f-4f62-a3ee-d75d0089f1ae;2ebe580f-d68f-4f62-a3ee-d75d0089f1ae;bDragons;3.757;bTowers;4.523
41;2ebe580f-d68f-4f62-a3ee-d75d0089f1ae;2ebe580f-d68f-4f62-a3ee-d75d0089f1ae;bDragons;3.757;bTowers;10.495
42;d5760007-c66a-404c-b737-46f205f33054;d5760007-c66a-404c-b737-46f205f33054;rDragons;4.497;bTowers;4.033
43;d5760007-c66a-404c-b737-46f205f33054;d5760007-c66a-404c-b737-46f205f33054;rDragons;4.497;bTowers;9.474
44;6f94abf1-c9a9-49f1-87e3-0ac05bd4c946;;;;bTowers;4.146
45;983af484-cb20-4438-ad40-00ac169f8918;983af484-cb20-4438-ad40-00ac169f8918;rDragons;3.845;bTowers;4.498
46;00032e36-8a18-472c-bf38-61b836b72e45;00032e36-8a18-472c-bf38-61b836b72e45;rDragons;8.317;bTowers;10.898
47;00032e36-8a18-472c-bf38-61b836b72e45;00032e36-8a18-472c-bf38-61b836b72e45;rDragons;8.317;bTowers;4.059
48;f2fbb08b-6df3-4d02-bf0f-9708f4263b7d;;;;bTowers;8.83
49;e8a39cbb-d151-4ae6-bae6-61441242845d;e8a39cbb-d151-4ae6-bae6-61441242845d;bDragons;5.154;bTowers;7.533
50;e8a39cbb-d151-4ae6-bae6-61441242845d;e8a39cbb-d151-4ae6-bae6-61441242845d;bDragons;5.154;bTowers;4.933
51;2f21b261-3fb4-433c-bb38-d0d1de4a5a02;;;;bTowers;10.094
